,start_station_name,end_station_name,Number_of_Trips
1363,McGinley Square,Sip Ave,332
1364,McGinley Square,Union St,6
1365,McGinley Square,Van Vorst Park,4
1366,McGinley Square,Warren St,6
1367,McGinley Square,Washington St,4
1368,McGinley Square,York St,3
1369,Monmouth and 6th,5 Corners Library,1
1370,Monmouth and 6th,Astor Place,2
1371,Monmouth and 6th,Brunswick & 6th,15
1372,Monmouth and 6th,Brunswick St,6
1373,Monmouth and 6th,Christ Hospital,1
1374,Monmouth and 6th,City Hall,7
1375,Monmouth and 6th,Columbus Dr at Exchange Pl,49
1376,Monmouth and 6th,Columbus Drive,3
1377,Monmouth and 6th,Communipaw & Berry Lane,2
1378,Monmouth and 6th,Dixon Mills,2
1379,Monmouth and 6th,Essex Light Rail,3
1380,Monmouth and 6th,Glenwood Ave,1
1381,Monmouth and 6th,Grand St,11
1382,Monmouth and 6th,Grove St PATH,85
1383,Monmouth and 6th,Hamilton Park,21
1384,Monmouth and 6th,Harborside,4
1385,Monmouth and 6th,Heights Elevator,4
1386,Monmouth and 6th,Hilltop,2
1387,Monmouth and 6th,Hoboken Ave at Monmouth St,4
1388,Monmouth and 6th,JC Medical Center,10
1389,Monmouth and 6th,Jersey & 3rd,12
1390,Monmouth and 6th,Jersey & 6th St,5
1391,Monmouth and 6th,Lafayette Park,5
1392,Monmouth and 6th,Liberty Light Rail,4
1393,Monmouth and 6th,Lincoln Park,2
1394,Monmouth and 6th,Manila & 1st,33
1395,Monmouth and 6th,Marin Light Rail,6
1396,Monmouth and 6th,Montgomery St,6
1397,Monmouth and 6th,Morris Canal,2
1398,Monmouth and 6th,Newark Ave,21
1399,Monmouth and 6th,Newport PATH,9
1400,Monmouth and 6th,Newport Pkwy,8
1401,Monmouth and 6th,Paulus Hook,11
1402,Monmouth and 6th,Pershing Field,13
1403,Monmouth and 6th,Riverview Park,2
1404,Monmouth and 6th,Sip Ave,1
1405,Monmouth and 6th,Van Vorst Park,2
1406,Monmouth and 6th,Warren St,19
1407,Monmouth and 6th,Washington St,4
1408,Monmouth and 6th,York St,1
1409,Montgomery St,5 Corners Library,2
1410,Montgomery St,Astor Place,4
1411,Montgomery St,Baldwin at Montgomery,5
1412,Montgomery St,Bergen Ave,3
1413,Montgomery St,Brunswick & 6th,3
1414,Montgomery St,Brunswick St,3
1415,Montgomery St,Christ Hospital,6
1416,Montgomery St,City Hall,9
1417,Montgomery St,Columbus Dr at Exchange Pl,8
1418,Montgomery St,Columbus Drive,17
1419,Montgomery St,Dixon Mills,16
1420,Montgomery St,Essex Light Rail,2
1421,Montgomery St,Fairmount Ave,2
1422,Montgomery St,Grand St,12
1423,Montgomery St,Grove St PATH,60
1424,Montgomery St,Hamilton Park,27
1425,Montgomery St,Harborside,13
1426,Montgomery St,Heights Elevator,3
1427,Montgomery St,Hilltop,4
1428,Montgomery St,Hoboken Ave at Monmouth St,1
1429,Montgomery St,JC Medical Center,9
1430,Montgomery St,Jackson Square,1
1431,Montgomery St,Jersey & 3rd,6
1432,Montgomery St,Jersey & 6th St,7
1433,Montgomery St,Lafayette Park,11
1434,Montgomery St,Leonard Gordon Park,1
1435,Montgomery St,Liberty Light Rail,18
1436,Montgomery St,Lincoln Park,1
1437,Montgomery St,Manila & 1st,10
1438,Montgomery St,Marin Light Rail,26
1439,Montgomery St,McGinley Square,4
1440,Montgomery St,Monmouth and 6th,15
1441,Montgomery St,Morris Canal,1
1442,Montgomery St,Newark Ave,10
1443,Montgomery St,Newport PATH,24
1444,Montgomery St,Newport Pkwy,26
1445,Montgomery St,Paulus Hook,4
1446,Montgomery St,Pershing Field,9
1447,Montgomery St,Riverview Park,1
1448,Montgomery St,Sip Ave,2
1449,Montgomery St,Van Vorst Park,8
1450,Montgomery St,Warren St,25
1451,Montgomery St,Washington St,23
1452,Montgomery St,York St,9
1453,Morris Canal,Baldwin at Montgomery,1
1454,Morris Canal,Brunswick & 6th,14
1455,Morris Canal,Brunswick St,11
1456,Morris Canal,City Hall,30
1457,Morris Canal,Columbus Dr at Exchange Pl,129
1458,Morris Canal,Columbus Drive,13
1459,Morris Canal,Communipaw & Berry Lane,3
1460,Morris Canal,Dey St,1
1461,Morris Canal,Dixon Mills,7
1462,Morris Canal,Essex Light Rail,15
1463,Morris Canal,Grand St,22
1464,Morris Canal,Grove St PATH,95
1465,Morris Canal,Hamilton Park,10
1466,Morris Canal,Harborside,48
1467,Morris Canal,Hilltop,1
1468,Morris Canal,Hoboken Ave at Monmouth St,3
1469,Morris Canal,JC Medical Center,27
1470,Morris Canal,Jersey & 3rd,4
1471,Morris Canal,Jersey & 6th St,3
1472,Morris Canal,Lafayette Park,4
1473,Morris Canal,Liberty Light Rail,12
1474,Morris Canal,Manila & 1st,2
1475,Morris Canal,Marin Light Rail,16
1476,Morris Canal,Monmouth and 6th,3
1477,Morris Canal,Montgomery St,5
1478,Morris Canal,Newark Ave,7
1479,Morris Canal,Newport PATH,29
1480,Morris Canal,Newport Pkwy,32
1481,Morris Canal,Oakland Ave,2
1482,Morris Canal,Paulus Hook,41
1483,Morris Canal,Van Vorst Park,16
1484,Morris Canal,Warren St,39
1485,Morris Canal,Washington St,13
1486,Morris Canal,York St,14
1487,Newark Ave,5 Corners Library,2
1488,Newark Ave,Astor Place,5
1489,Newark Ave,Baldwin at Montgomery,5
1490,Newark Ave,Bergen Ave,3
1491,Newark Ave,Brunswick & 6th,29
1492,Newark Ave,Brunswick St,33
1493,Newark Ave,Christ Hospital,4
1494,Newark Ave,City Hall,22
1495,Newark Ave,Columbus Dr at Exchange Pl,16
1496,Newark Ave,Columbus Drive,5
1497,Newark Ave,Communipaw & Berry Lane,4
1498,Newark Ave,Dixon Mills,19
1499,Newark Ave,Essex Light Rail,8
1500,Newark Ave,Fairmount Ave,4
1501,Newark Ave,Grand St,15
1502,Newark Ave,Grove St PATH,20
1503,Newark Ave,Hamilton Park,68
1504,Newark Ave,Harborside,24
1505,Newark Ave,Heights Elevator,3
1506,Newark Ave,Hilltop,6
1507,Newark Ave,Hoboken Ave at Monmouth St,10
1508,Newark Ave,JC Medical Center,46
1509,Newark Ave,Jackson Square,5
1510,Newark Ave,Jersey & 3rd,12
1511,Newark Ave,Jersey & 6th St,31
1512,Newark Ave,Lafayette Park,7
1513,Newark Ave,Liberty Light Rail,24
1514,Newark Ave,Lincoln Park,4
1515,Newark Ave,Manila & 1st,5
1516,Newark Ave,Marin Light Rail,34
1517,Newark Ave,McGinley Square,4
1518,Newark Ave,Monmouth and 6th,13
1519,Newark Ave,Montgomery St,11
1520,Newark Ave,Morris Canal,10
1521,Newark Ave,Newport PATH,18
1522,Newark Ave,Newport Pkwy,11
1523,Newark Ave,Oakland Ave,3
1524,Newark Ave,Paulus Hook,7
1525,Newark Ave,Pershing Field,1
1526,Newark Ave,Riverview Park,3
1527,Newark Ave,Sip Ave,6
1528,Newark Ave,Van Vorst Park,21
1529,Newark Ave,Warren St,20
1530,Newark Ave,Washington St,28
1531,Newark Ave,York St,2
1532,Newport PATH,5 Corners Library,5
1533,Newport PATH,Baldwin at Montgomery,8
1534,Newport PATH,Bergen Ave,1
1535,Newport PATH,Brunswick & 6th,15
1536,Newport PATH,Brunswick St,10
1537,Newport PATH,Christ Hospital,4
1538,Newport PATH,City Hall,23
1539,Newport PATH,Columbus Dr at Exchange Pl,45
1540,Newport PATH,Columbus Drive,37
1541,Newport PATH,Dixon Mills,13
1542,Newport PATH,Essex Light Rail,10
1543,Newport PATH,Fort Washington Ave & W 173 St,1
1544,Newport PATH,Glenwood Ave,1
1545,Newport PATH,Grand St,50
1546,Newport PATH,Grove St PATH,30
1547,Newport PATH,Hamilton Park,123
1548,Newport PATH,Harborside,150
1549,Newport PATH,Heights Elevator,20
1550,Newport PATH,Hilltop,20
1551,Newport PATH,Hoboken Ave at Monmouth St,59
1552,Newport PATH,JC Medical Center,22
1553,Newport PATH,Jersey & 3rd,33
1554,Newport PATH,Jersey & 6th St,14
1555,Newport PATH,Journal Square,6
1556,Newport PATH,Lafayette Park,4
1557,Newport PATH,Liberty Light Rail,15
1558,Newport PATH,Manila & 1st,26
1559,Newport PATH,Marin Light Rail,59
1560,Newport PATH,McGinley Square,4
1561,Newport PATH,Monmouth and 6th,23
1562,Newport PATH,Montgomery St,25
1563,Newport PATH,Morris Canal,27
1564,Newport PATH,Newark Ave,11
1565,Newport PATH,Newport Pkwy,151
1566,Newport PATH,Oakland Ave,4
1567,Newport PATH,Paulus Hook,28
1568,Newport PATH,Pershing Field,1
1569,Newport PATH,Riverview Park,5
1570,Newport PATH,Sip Ave,2
1571,Newport PATH,Union St,1
1572,Newport PATH,Van Vorst Park,27
1573,Newport PATH,W Broadway & Spring St,1
1574,Newport PATH,Warren St,86
1575,Newport PATH,Washington St,47
1576,Newport PATH,York St,4
1577,Newport Pkwy,5 Corners Library,7
1578,Newport Pkwy,Astor Place,1
1579,Newport Pkwy,Baldwin at Montgomery,6
1580,Newport Pkwy,Brunswick & 6th,18
1581,Newport Pkwy,Brunswick St,18
1582,Newport Pkwy,Cabrini Blvd & W 177 St,1
1583,Newport Pkwy,Christ Hospital,1
1584,Newport Pkwy,City Hall,18
1585,Newport Pkwy,Columbus Dr at Exchange Pl,68
1586,Newport Pkwy,Columbus Drive,120
1587,Newport Pkwy,Communipaw & Berry Lane,1
1588,Newport Pkwy,Dey St,1
1589,Newport Pkwy,Dixon Mills,8
1590,Newport Pkwy,Essex Light Rail,29
1591,Newport Pkwy,Glenwood Ave,12
1592,Newport Pkwy,Grand St,69
1593,Newport Pkwy,Grove St PATH,69
1594,Newport Pkwy,Hamilton Park,87
1595,Newport Pkwy,Harborside,80
1596,Newport Pkwy,Heights Elevator,4
1597,Newport Pkwy,Hilltop,12
1598,Newport Pkwy,Hoboken Ave at Monmouth St,21
1599,Newport Pkwy,JC Medical Center,28
1600,Newport Pkwy,Jersey & 3rd,16
1601,Newport Pkwy,Jersey & 6th St,30
1602,Newport Pkwy,Journal Square,17
1603,Newport Pkwy,Liberty Light Rail,20
1604,Newport Pkwy,Lincoln Park,1
1605,Newport Pkwy,Manila & 1st,32
1606,Newport Pkwy,Marin Light Rail,29
1607,Newport Pkwy,McGinley Square,7
1608,Newport Pkwy,Monmouth and 6th,4
1609,Newport Pkwy,Montgomery St,23
1610,Newport Pkwy,Morris Canal,30
1611,Newport Pkwy,Newark Ave,10
1612,Newport Pkwy,Newport PATH,100
1613,Newport Pkwy,Paulus Hook,54
1614,Newport Pkwy,Pershing Field,4
1615,Newport Pkwy,Riverview Park,3
1616,Newport Pkwy,Sip Ave,1
1617,Newport Pkwy,Van Vorst Park,10
1618,Newport Pkwy,Warren St,185
1619,Newport Pkwy,Washington St,61
1620,Newport Pkwy,York St,3
1621,Oakland Ave,5 Corners Library,4
1622,Oakland Ave,Astor Place,1
1623,Oakland Ave,Brunswick St,5
1624,Oakland Ave,Christ Hospital,9
1625,Oakland Ave,City Hall,3
1626,Oakland Ave,Columbus Dr at Exchange Pl,1
1627,Oakland Ave,Columbus Drive,2
1628,Oakland Ave,Communipaw & Berry Lane,1
1629,Oakland Ave,Dey St,2
1630,Oakland Ave,Grove St PATH,7
1631,Oakland Ave,Hamilton Park,8
1632,Oakland Ave,Heights Elevator,8
1633,Oakland Ave,Hilltop,8
1634,Oakland Ave,Hoboken Ave at Monmouth St,39
1635,Oakland Ave,JC Medical Center,1
1636,Oakland Ave,Jersey & 3rd,2
1637,Oakland Ave,Jersey & 6th St,3
1638,Oakland Ave,Journal Square,52
1639,Oakland Ave,Leonard Gordon Park,3
1640,Oakland Ave,Manila & 1st,11
1641,Oakland Ave,Marin Light Rail,3
1642,Oakland Ave,McGinley Square,1
1643,Oakland Ave,Monmouth and 6th,2
1644,Oakland Ave,Montgomery St,1
1645,Oakland Ave,Morris Canal,1
1646,Oakland Ave,Newark Ave,24
1647,Oakland Ave,Newport PATH,8
1648,Oakland Ave,Newport Pkwy,6
1649,Oakland Ave,Paulus Hook,2
1650,Oakland Ave,Pershing Field,20
1651,Oakland Ave,Riverview Park,4
1652,Oakland Ave,Sip Ave,19
1653,Oakland Ave,Union St,1
1654,Oakland Ave,Warren St,3
1655,Oakland Ave,Washington St,3
1656,Paulus Hook,Astor Place,2
1657,Paulus Hook,Bergen Ave,7
1658,Paulus Hook,Brunswick & 6th,11
1659,Paulus Hook,Brunswick St,9
1660,Paulus Hook,City Hall,23
1661,Paulus Hook,Columbus Dr at Exchange Pl,31
1662,Paulus Hook,Columbus Drive,13
1663,Paulus Hook,Communipaw & Berry Lane,4
1664,Paulus Hook,Dixon Mills,4
1665,Paulus Hook,Essex Light Rail,9
1666,Paulus Hook,Fairmount Ave,1
1667,Paulus Hook,Grand St,24
1668,Paulus Hook,Grove St PATH,18
1669,Paulus Hook,Hamilton Park,71
1670,Paulus Hook,Harborside,26
1671,Paulus Hook,Hilltop,1
1672,Paulus Hook,Hoboken Ave at Monmouth St,2
1673,Paulus Hook,JC Medical Center,14
1674,Paulus Hook,Jackson Square,2
1675,Paulus Hook,Jersey & 3rd,5
1676,Paulus Hook,Jersey & 6th St,9
1677,Paulus Hook,Lafayette Park,9
1678,Paulus Hook,Liberty Light Rail,14
1679,Paulus Hook,Manila & 1st,15
1680,Paulus Hook,Marin Light Rail,45
1681,Paulus Hook,McGinley Square,1
1682,Paulus Hook,Monmouth and 6th,18
1683,Paulus Hook,Montgomery St,5
1684,Paulus Hook,Morris Canal,45
1685,Paulus Hook,Newark Ave,14
1686,Paulus Hook,Newport PATH,32
1687,Paulus Hook,Newport Pkwy,46
1688,Paulus Hook,Pershing Field,1
1689,Paulus Hook,Union St,1
1690,Paulus Hook,Van Vorst Park,10
1691,Paulus Hook,Warren St,41
1692,Paulus Hook,Washington St,24
1693,Paulus Hook,York St,8
1694,Pershing Field,5 Corners Library,14
1695,Pershing Field,Astor Place,36
1696,Pershing Field,Baldwin at Montgomery,2
1697,Pershing Field,Bergen Ave,9
1698,Pershing Field,Brunswick & 6th,2
1699,Pershing Field,Brunswick St,21
1700,Pershing Field,Cabrini Blvd & W 177 St,2
1701,Pershing Field,Christ Hospital,16
1702,Pershing Field,Columbus Dr at Exchange Pl,2
1703,Pershing Field,Communipaw & Berry Lane,3
1704,Pershing Field,Dey St,10
1705,Pershing Field,Dixon Mills,3
1706,Pershing Field,Glenwood Ave,2
1707,Pershing Field,Grand St,1
1708,Pershing Field,Grove St PATH,4
1709,Pershing Field,Hamilton Park,7
1710,Pershing Field,Harborside,1
1711,Pershing Field,Heights Elevator,16
1712,Pershing Field,Hilltop,12
1713,Pershing Field,Hoboken Ave at Monmouth St,3
1714,Pershing Field,JC Medical Center,9
1715,Pershing Field,Jersey & 3rd,5
1716,Pershing Field,Jersey & 6th St,3
1717,Pershing Field,Journal Square,12
1718,Pershing Field,Lafayette Park,2
1719,Pershing Field,Leonard Gordon Park,11
1720,Pershing Field,Lincoln Park,3
1721,Pershing Field,Manila & 1st,2
1722,Pershing Field,Marin Light Rail,1
1723,Pershing Field,McGinley Square,11
1724,Pershing Field,Monmouth and 6th,25
1725,Pershing Field,Montgomery St,5
1726,Pershing Field,Newark Ave,16
1727,Pershing Field,Newport PATH,6
1728,Pershing Field,Newport Pkwy,6
1729,Pershing Field,Oakland Ave,12
1730,Pershing Field,Paulus Hook,1
1731,Pershing Field,Riverview Park,5
1732,Pershing Field,Sip Ave,38
1733,Pershing Field,Union St,1
1734,Pershing Field,Van Vorst Park,1
1735,Pershing Field,Warren St,2
1736,Pershing Field,Washington St,3
1737,Riverview Park,12 Ave & W 40 St,1
1738,Riverview Park,5 Corners Library,2
1739,Riverview Park,Brunswick & 6th,5
1740,Riverview Park,Brunswick St,5
1741,Riverview Park,Christ Hospital,3
1742,Riverview Park,Columbus Dr at Exchange Pl,1
1743,Riverview Park,Dey St,2
1744,Riverview Park,Glenwood Ave,1
1745,Riverview Park,Grove St PATH,7
1746,Riverview Park,Hamilton Park,4
1747,Riverview Park,Harborside,12
1748,Riverview Park,Heights Elevator,18
1749,Riverview Park,Hilltop,15
1750,Riverview Park,Hoboken Ave at Monmouth St,2
1751,Riverview Park,JC Medical Center,3
1752,Riverview Park,Jersey & 6th St,2
1753,Riverview Park,Journal Square,2
1754,Riverview Park,Leonard Gordon Park,2
1755,Riverview Park,Lincoln Park,1
1756,Riverview Park,Manila & 1st,3
1757,Riverview Park,Morris Canal,2
1758,Riverview Park,Newark Ave,2
1759,Riverview Park,Newport PATH,6
1760,Riverview Park,Newport Pkwy,6
1761,Riverview Park,Oakland Ave,3
1762,Riverview Park,Pershing Field,14
1763,Riverview Park,Riverside Dr & W 78 St,1
1764,Riverview Park,Sip Ave,6
1765,Riverview Park,Van Vorst Park,2
1766,Riverview Park,Warren St,6
1767,Riverview Park,Washington St,1
1768,Riverview Park,York St,3
1769,Sip Ave,5 Corners Library,4
1770,Sip Ave,Astor Place,110
1771,Sip Ave,Baldwin at Montgomery,232
1772,Sip Ave,Bergen Ave,126
1773,Sip Ave,Brunswick & 6th,3
1774,Sip Ave,Brunswick St,20
1775,Sip Ave,Christ Hospital,12
1776,Sip Ave,City Hall,6
1777,Sip Ave,Columbus Dr at Exchange Pl,17
1778,Sip Ave,Columbus Drive,2
1779,Sip Ave,Communipaw & Berry Lane,10
1780,Sip Ave,Dey St,26
1781,Sip Ave,Dixon Mills,1
1782,Sip Ave,Fairmount Ave,238
1783,Sip Ave,Glenwood Ave,44
1784,Sip Ave,Grand St,3
1785,Sip Ave,Grove St PATH,7
1786,Sip Ave,Hamilton Park,6
1787,Sip Ave,Harborside,3
1788,Sip Ave,Heights Elevator,7
1789,Sip Ave,Hilltop,12
1790,Sip Ave,Hoboken Ave at Monmouth St,1
1791,Sip Ave,JC Medical Center,2
1792,Sip Ave,Jackson Square,12
1793,Sip Ave,Jersey & 3rd,4
1794,Sip Ave,Jersey & 6th St,2
1795,Sip Ave,Journal Square,11
1796,Sip Ave,Lafayette Park,4
1797,Sip Ave,Leonard Gordon Park,23
1798,Sip Ave,Liberty Light Rail,12
1799,Sip Ave,Lincoln Park,86
1800,Sip Ave,Manila & 1st,1
1801,Sip Ave,McGinley Square,291
1802,Sip Ave,Monmouth and 6th,5
1803,Sip Ave,Montgomery St,4
1804,Sip Ave,Morris Canal,4
1805,Sip Ave,Newark Ave,13
1806,Sip Ave,Newport PATH,22
1807,Sip Ave,Newport Pkwy,21
1808,Sip Ave,Oakland Ave,16
1809,Sip Ave,Paulus Hook,3
1810,Sip Ave,Pershing Field,53
1811,Sip Ave,Riverview Park,3
1812,Sip Ave,Union St,22
1813,Sip Ave,Van Vorst Park,12
1814,Sip Ave,Warren St,6
1815,Sip Ave,Washington St,7
1816,Sip Ave,York St,1
1817,Union St,5 Corners Library,2
1818,Union St,Astor Place,4
1819,Union St,Baldwin at Montgomery,2
1820,Union St,City Hall,5
1821,Union St,Communipaw & Berry Lane,4
1822,Union St,Fairmount Ave,3
1823,Union St,Grove St PATH,3
1824,Union St,Hilltop,2
1825,Union St,JC Medical Center,1
1826,Union St,Jackson Square,2
1827,Union St,Journal Square,1
1828,Union St,Lafayette Park,1
1829,Union St,Leonard Gordon Park,1
1830,Union St,Lincoln Park,1
1831,Union St,McGinley Square,2
1832,Union St,Newark Ave,1
1833,Union St,Newport Pkwy,1
1834,Union St,Pershing Field,1
1835,Union St,Sip Ave,20
1836,Union St,Warren St,1
1837,Van Vorst Park,5 Ave & E 88 St,1
1838,Van Vorst Park,5 Corners Library,2
1839,Van Vorst Park,Astor Place,5
1840,Van Vorst Park,Baldwin at Montgomery,5
1841,Van Vorst Park,Bergen Ave,1
1842,Van Vorst Park,Brunswick & 6th,14
1843,Van Vorst Park,Brunswick St,7
1844,Van Vorst Park,Christ Hospital,2
1845,Van Vorst Park,City Hall,29
1846,Van Vorst Park,Columbus Dr at Exchange Pl,9
1847,Van Vorst Park,Columbus Drive,19
1848,Van Vorst Park,Communipaw & Berry Lane,11
1849,Van Vorst Park,Dey St,1
1850,Van Vorst Park,Dixon Mills,6
1851,Van Vorst Park,Essex Light Rail,9
1852,Van Vorst Park,Fairmount Ave,1
1853,Van Vorst Park,Fulton St & Broadway,1
1854,Van Vorst Park,Glenwood Ave,2
1855,Van Vorst Park,Grand St,12
1856,Van Vorst Park,Grove St PATH,107
1857,Van Vorst Park,Hamilton Park,16
1858,Van Vorst Park,Harborside,9
1859,Van Vorst Park,Heights Elevator,3
1860,Van Vorst Park,Hilltop,1
1861,Van Vorst Park,Hoboken Ave at Monmouth St,3
1862,Van Vorst Park,JC Medical Center,18
1863,Van Vorst Park,Jackson Square,1
1864,Van Vorst Park,Jersey & 3rd,10
1865,Van Vorst Park,Jersey & 6th St,10
1866,Van Vorst Park,Lafayette Park,20
1867,Van Vorst Park,Liberty Light Rail,38
1868,Van Vorst Park,Manila & 1st,10
1869,Van Vorst Park,Marin Light Rail,37
1870,Van Vorst Park,McGinley Square,3
1871,Van Vorst Park,Monmouth and 6th,5
1872,Van Vorst Park,Montgomery St,13
1873,Van Vorst Park,Morris Canal,11
1874,Van Vorst Park,Newark Ave,9
1875,Van Vorst Park,Newport PATH,32
1876,Van Vorst Park,Newport Pkwy,7
1877,Van Vorst Park,Oakland Ave,1
1878,Van Vorst Park,Paulus Hook,24
1879,Van Vorst Park,Pershing Field,1
1880,Van Vorst Park,Sip Ave,4
1881,Van Vorst Park,Union St,1
1882,Van Vorst Park,Warren St,6
1883,Van Vorst Park,Washington St,26
1884,Van Vorst Park,York St,9
1885,Warren St,Astor Place,1
1886,Warren St,Baldwin at Montgomery,4
1887,Warren St,Bergen Ave,1
1888,Warren St,Brunswick & 6th,17
1889,Warren St,Brunswick St,23
1890,Warren St,City Hall,17
1891,Warren St,Columbus Dr at Exchange Pl,36
1892,Warren St,Columbus Drive,35
1893,Warren St,Dey St,1
1894,Warren St,Dixon Mills,7
1895,Warren St,Essex Light Rail,30
1896,Warren St,Glenwood Ave,4
1897,Warren St,Grand St,29
1898,Warren St,Grove St PATH,45
1899,Warren St,Hamilton Park,44
1900,Warren St,Harborside,16
1901,Warren St,Heights Elevator,1
1902,Warren St,Hilltop,3
1903,Warren St,Hoboken Ave at Monmouth St,5
1904,Warren St,JC Medical Center,49
1905,Warren St,Jersey & 3rd,10
1906,Warren St,Jersey & 6th St,13
1907,Warren St,Journal Square,1
1908,Warren St,Lafayette Park,5
1909,Warren St,Liberty Light Rail,26
1910,Warren St,Lincoln Park,6
1911,Warren St,Manila & 1st,8
1912,Warren St,Marin Light Rail,44
1913,Warren St,McGinley Square,12
1914,Warren St,Monmouth and 6th,7
1915,Warren St,Montgomery St,29
1916,Warren St,Morris Canal,35
1917,Warren St,Newark Ave,19
1918,Warren St,Newport PATH,66
1919,Warren St,Newport Pkwy,175
1920,Warren St,Oakland Ave,1
1921,Warren St,Paulus Hook,18
1922,Warren St,Pershing Field,1
1923,Warren St,Riverview Park,2
1924,Warren St,Sip Ave,2
1925,Warren St,Van Vorst Park,23
1926,Warren St,Washington St,48
1927,Warren St,York St,6
1928,Washington St,Astor Place,1
1929,Washington St,Bergen Ave,1
1930,Washington St,Brunswick & 6th,29
1931,Washington St,Brunswick St,10
1932,Washington St,Christ Hospital,4
1933,Washington St,City Hall,18
1934,Washington St,Columbus Dr at Exchange Pl,40
1935,Washington St,Columbus Drive,15
1936,Washington St,Communipaw & Berry Lane,2
1937,Washington St,Dixon Mills,3
1938,Washington St,Essex Light Rail,10
1939,Washington St,Glenwood Ave,1
1940,Washington St,Grand St,30
1941,Washington St,Grove St PATH,22
1942,Washington St,Hamilton Park,47
1943,Washington St,Harborside,16
1944,Washington St,Heights Elevator,12
1945,Washington St,Hilltop,5
1946,Washington St,Hoboken Ave at Monmouth St,7
1947,Washington St,JC Medical Center,13
1948,Washington St,Jersey & 3rd,21
1949,Washington St,Jersey & 6th St,11
1950,Washington St,Lafayette Park,5
1951,Washington St,Leonard Gordon Park,1
1952,Washington St,Liberty Light Rail,6
1953,Washington St,Manila & 1st,11
1954,Washington St,Marin Light Rail,40
1955,Washington St,McGinley Square,1
1956,Washington St,Monmouth and 6th,10
1957,Washington St,Montgomery St,15
1958,Washington St,Morris Canal,13
1959,Washington St,Newark Ave,22
1960,Washington St,Newport PATH,63
1961,Washington St,Newport Pkwy,61
1962,Washington St,Oakland Ave,3
1963,Washington St,Paulus Hook,22
1964,Washington St,Riverview Park,2
1965,Washington St,Sip Ave,3
1966,Washington St,Van Vorst Park,15
1967,Washington St,Warren St,20
1968,Washington St,York St,6
1969,York St,Astor Place,3
1970,York St,Baldwin at Montgomery,3
1971,York St,Bergen Ave,2
1972,York St,Brunswick & 6th,2
1973,York St,Brunswick St,4
1974,York St,City Hall,14
1975,York St,Cleveland Pl & Spring St,1
1976,York St,Columbus Dr at Exchange Pl,33
1977,York St,Columbus Drive,2
1978,York St,Communipaw & Berry Lane,1
1979,York St,Essex Light Rail,6
1980,York St,Grand St,2
1981,York St,Grove St PATH,30
1982,York St,Hamilton Park,8
1983,York St,Harborside,8
1984,York St,Heights Elevator,1
1985,York St,Hilltop,1
1986,York St,JC Medical Center,6
1987,York St,Jersey & 3rd,5
1988,York St,Jersey & 6th St,2
1989,York St,Liberty Light Rail,3
1990,York St,Manila & 1st,1
1991,York St,Marin Light Rail,16
1992,York St,Monmouth and 6th,2
1993,York St,Montgomery St,5
1994,York St,Morris Canal,3
1995,York St,Newark Ave,7
1996,York St,Newport PATH,7
1997,York St,Newport Pkwy,6
1998,York St,Paulus Hook,3
1999,York St,Sip Ave,1
2000,York St,Van Vorst Park,13
2001,York St,Warren St,7
2002,York St,Washington St,3
